title	link	main text	reply text
论PUA我这件事，我的母亲当仁不让	https://www.douban.com/group/topic/235504708/	['论PUA我这件事，我的母亲当仁不让\n\n放假跟她一起总共待了两三天，我好不容易鼓起勇气战胜的外貌焦虑、身材焦虑全都扑回了我身上。\n包括且不限于每天三次惊讶“你看看你的xx（身体部位），怎么这么肥”、；每天三次嫌弃“你都胖成这个鬼样了”；每天无数次感叹和责怪“你这脸怎么办啊”、“你的脸怎么变成这个样子了”、“你怎么能长这么多痘痘”、“你这脸啊你真的要想想办法啊”；以及偶发性总结“你现在全毁了”。\n\n今晚逛街买衣服她说，“也不知道她在里面干什么这么磨蹭”、“你这么胖怎么穿的进去大码，给她拿XL的”、“你别试了丑死了”、“是真的好丑”、“别买衣服了，你减完肥再买”……以上所有场景她都采用极嫌弃，极不耐，极厌恶的表情和语气。与之形成鲜明对比的笑意盈盈“不好意思啊，试了这么多衣服，麻烦你了，不是你们衣服不好看，是我姑娘，实在……不合适”。\n\n听起来我是胖到无可救药了是吗？\n可实际上我只是胖了10斤而已，比这个身高的标准体重高出5斤。\n而我，是打算买运动装的，她说“你减完肥再买”  嗯，所以我减肥的时候不用穿衣服对吗\n\n社会对女性的外貌羞辱、身材羞辱、和各种荒唐的规训，我其实从未直接地从社会关系中感受到过，而都是来源于她一人。\n\n这几天她说了不下五次“你现在全毁了”。仅仅是因为我长胖了10斤，并且脸上有痘痘肌无法摆脱的痘印。\n可笑吗？\n一个人毁了不是因为她触犯法律，违反道德，也不是因为学业事业上受到重大打击，而是因为长胖长痘。就连靠脸吃饭的明星都不会因为这点小事“毁了”。\n而我会\n\n这些天里，她还无数次地提到让我“嫁到”她的家乡，即使她明明知道这个城市以及当地省会没有我所在行业的发展前景。\n她说“不对口也没关系”，视我辛辛苦苦考上的研究生和勤勤恳恳的学习工作于无物。\n她对我的期许不过就是“找个人嫁了”\n\n我为什么不愿意回家，为什么不愿意跟她相处，为什么不愿意跟她交流。\n每次跟她相处一段时间之后，我整个人都会被戾气被负情绪充满，需要倾诉很久或者自我消化大半个月，才能重新回到正常的正面的精神状态。\n\n幸好，我的自我意识早早开始萌芽，女权思想也逐渐觉醒并不断完善，不会轻易向羞辱和规训妥协。\n\n是啊，她是以她的方式对我好，她做的这些都是为了我好啊！\n\n我毫不怀疑，如果我没有产生现在这样的女性自我意识，而是被她的思想和理念裹挟，我应该会走向跟她一致的道路，which is 我人生的末路。\n\n\n']	['幸好你够坚定。对于这样的父母就是物理隔离，少接触。精神隔离，他说什么你当听不见。', '隔离', '多少斤', '我妈也是，打压式教育，而且每次我很认真提出建议，她会说她小时候就是被这样教育的，丝毫不会改变，而且有事才找我的那种平时并不会主动打电话给我…']
【求助】uu们我这算被pua了吧？	https://www.douban.com/group/topic/249024323/	['有个有钱亲戚大学时候资助过一些我的生活费，之前很多年都是没有联系的那种，就小时候有一次她来我家乡下的房子，但摆谱不进来，我当时傻了吧唧过去请她，后知后觉发现人家根本不想进来，一直看不上我父母，因为他们没有发大财，但也是勤勤恳恳赚钱过小日子的', '前一阵她邀请去她家住两天我就去了，结果看我横竖不顺眼，说我个子矮，走路腰板不直，罚我靠墙站军姿。然后要给她打扫卫生，做饭（这些的话我去别的亲戚朋友家他们不说我也会帮忙的）。我每次饭前要仔细询问今天做什么合适，并且做好了之后必须等她先动筷我才能吃，如果同时在餐桌的时候我个人也是很在意这个问题的，不管是外出还是聚会，不管对方在不在意谁先动筷，我都会刻意最后一个动筷。', '这次事情是我早饭做好饭了，盛饭的时候她也过来盛了一下，当时摆到餐桌上了，但是她又转头去楼下不知道做什么了，早饭比较简易就一个鸡蛋一碗粥我就顺势开始吃了，结果她半个小时后回来看到我已经吃完了就开始炸了，开始各种骂我不懂礼貌，怎么在别人家不等主人先吃就自己开始吃了各种难听的话开始说了。我当时被骂惊愕了。如果完全是把我当外人，那为什么要做掌勺的这个人呢？做家务的话刷刷碗也就够了吧我去别的亲戚家也没有这种情况啊？这是完全把我当保姆了哇？', '然后她开始合理化自己，说她小时候去亲戚家住也是什么活儿都干，也是被骂被说，所以我现在住她家，她不让我付房费总归要做点家务吧，说这也是锻炼我。', '然后在我话都不敢说的情况下，她带我去走访她的邻居，我完全不敢说话，因为总是被骂不会说话，有个东北的阿姨，她给了这个亲戚一份菜让中午拿回来吃，中午吃的时候亲戚问了一句，好吃吗？我说挺好吃的，她说这阿姨也是属虎的，手艺这么好，你会吗？你不也是属虎的 我认识周围属虎的手都巧 没一个你这样的。被说完我完全震惊了，委屈得眼泪控制不住地掉，我质问她我怎么到她口中就一文不值了，和我同岁的同学那么多，大家都属虎又怎么样了？ 她看到我发怒了就开始转口说她不是那个意思，意思是让我好好学着点。', '真的拿人手短吃人嘴软，当时拿的一点钱，导致只要和她接触就会被骂，我每次还傻呵呵地对她笑着顺着她的话说，每次看到自己这软弱可欺的性格真想抽自己俩耳光']	[]
我即正义	https://www.douban.com/group/topic/216986445/	['做人简单粗暴点，就是必须主观，我觉得好的就是好的，我觉得对的就是对的。并且我愿意为我的想法付出代价。']	['个人想法要整合社会规则进去']
我感觉自己被职场pua了	https://www.douban.com/group/topic/235555163/	['首先我是做专利工作的，主要工作内容是将客户给的交底内容转化成法律文书方面的文件之后，再上交到国家知识产权局。我的师傅负责带我给我审案子，到现在已经3年多了。本行业的案子撰写人员，到2-3年基本上就算出师了，写实用新型应该是没有问题，可以独立了。但是，我到现在每个案子依旧需要改好多遍，从编号开始改起，改一次都要2个小时以上，比我晚一点入门，其他师傅带的，早就已经开始独立撰写了，挣的比我多。方向的描述都必须一致，都无所谓的写法还要我反复改。有的时候都不想写了，，，还有一个同事，和我一个师傅，他已经离职了，今年4月份离职的。我不知道还能坚持多久，自己生活在一个小城市，专利行业都在一个圈子里，离职了再去其他所，感觉有点困难。']	['现在每次都很消极的改，上班也不想工作']
【安全出口】反PUA项目需要你！	https://www.douban.com/group/topic/234017958/	['7.9-7.11，独立创作者「润」会参加abC艺术书展，并在现场进行一些反pua的倡导。之后，润会与「相当女子」一起推出反pua女性艺术共创项目「安全出口」。', '我们希望为亲密关系暴力的幸存者搭建一个共同交流的社群，并通过多元的艺术创作，为悲伤、痛苦、愤怒、不安情绪找到一个安全出口。', '欢迎扫描【图一】二维码填写【反PUA】问卷！', '图一是【安全出口】问卷', '图二到五是「润」的个人设计作品']	[]
别人是怎么控制我们的（三）	https://www.douban.com/group/topic/177681837/	['别人控制我们基本就是三种方法：攻击贬低、许以好处、让你愧疚。 ', '说了两点了，今天说让你愧疚。\n\n“我都是为了你才没离婚。”这话听着耳熟不。', '举一反三，领导、同事、伴侣同样会这样给你甩锅。', '凡是经历过被控制的人，身边一定太多这样的例子了。', '一般控制手段差不多都是语言攻击，施加暴力，有时候这些比较激烈的行为也会做的比较隐蔽。', '上述办法都不好用以后，就会祭出让你愧疚的一招。比如跟父母吵完架，父母就生病或者一哭二闹三上吊。。。。。。']	['就是知道对方肯定会犯错的地方进行公开处刑，摧毁对方意志，重新建立洗脑循环', '要你愧疚也有一种方式', '就是知道对方肯定会犯错的地方进行公开处刑，摧毁对方意志，重新建立洗脑循环', '对的，总之就是想尽一切办法的打击。', '怎么反控制呢', '搜集不到证据怎么办', '是的，我爸就是！每次说不过却又不承认他自己错的时候就开始打他自己说脏话然后让我愧疚！\n以前有个同学和我说他爸一喝酒就回家骂她还有她妈我都不信，因为那个同学的的爸爸看起来很好，结果知人知面不知心。']
求助：我是被PUA了吗T_T	https://www.douban.com/group/topic/223249645/	['lz应届生，今年没考上研，于是开始找工作。', '有一个大lz近十岁的远房姐姐，在亲戚婚宴上认识的，聊得比较开心就一直当朋友。从考研开始她就一直打击lz，说考不上，别费力气了之类的话。因为关系好，一直没当回事，以为就是开玩笑，嘻嘻哈哈就过去了。', '开始找工作以后，因为她比我大很多，有阅历有见识，我基本上找什么工作都会问问她。只要我投简历给大厂或者国企，她就会“呵呵”这样，我心里挺堵的但又不好说。', '后来她爸爸给我介绍了一个工作，是一个很小的公司，就在我们老家，我不是很愿意去。这事儿让她知道之后，她就开始各种劝我去，听说我还在投简历就不给我好脸色；', '听说我投大公司就冷嘲热讽；', '听说我投大城市的工作就说我心比天高；', '听说我投好的岗位就说我瞎投，根本干不了；', '听说我报事业编就说“你用脑子想想人家凭什么要你”；', '听说我投工资高但是苦的工作就说我目光短浅，光知道钱……', '总之就是一句话，哪儿都不行，只能去她爸爸介绍的那个小公司。只要我稍微一提不想去，她就骂我不知好歹没有良心，说她爸爸给我找那个工作有多不容易，说人家公司看在她爸爸的面子上给我优待，说这工作又稳定又好。', '从破口大骂到苦口婆心甚至暴怒，搞得我现在特别害怕跟她聊天。', '每次她跟我聊的时候我都感觉她是真的为我好，毕竟是亲戚，觉得她不能坑我。可是一挂电话我又觉得不对劲了，虽然我不是名校生，好歹也是专业考试全系第一名，凭什么只能去老家县城的小公司？', '上周我接到了一个大城市的offer，她听说之后整个人就气炸了，打电话从方方面面指责我。先是说我这个offer不能去，薪资待遇、未来发展、所处城市，总之哪哪都不好，然后说我没脑子没良心，又蠢又笨，放着老家的好工作不去自己瞎投，最后撂下一句话，说以后不管我了，带不动，接着挂了电话。', '一方面我觉得她说的有道理，我双非本科，学历不占优势，之前准备考研没实习过，能力也一般，这份工作对我来说的确很难，大城市淘汰人的概率又高，而且我家境不好，父母完全不能帮忙。但是另一方面我又真的觉得自己也没有她说的那么差。', '想请教uu们，她是真的为我好还是在pua我？']	['换成是你，会不会这么对亲人。即便她是真的好心，也是人格有些问题，自身不健全，她的话也不值得听。', '真正为你好的人，从来都不会总是贬低你。', '好的！', '真正为你好的人，从来都不会总是贬低你。', '谢谢组长！(⑉°з°)-♡ 她确实一直贬低我，哪怕我考第一名那次，她都说“双非学校，第一名有啥用”……', '换成是你，会不会这么对亲人。即便她是真的好心，也是人格有些问题，自身不健全，她的话也不值得听。', '😭确实，我也觉得她有点问题，从来没有见过她夸人。本来我以为是我不够好不值得她夸，但是现在一想她谁都没夸过，提谁都是贬低。看来真的有问题！', '清醒。', '好的！']
你们遇到过女的pua么	https://www.douban.com/group/topic/216966712/	['我在网上遇到了']	['讲讲啊', 'Pua可不分男女', '我真是开了眼了，那个女的骚操作也是要我大开眼界', '尺度比较大', '我在现实里遇到了', '讲讲']
1	https://www.douban.com/group/topic/218238947/	['1']	[]
反pua第一计	https://www.douban.com/group/topic/215005866/	['那就是:坚持自己。', '一个人之所以会被pua最大的原因，就是对自己的不够自信，内心不够坚定。', '过度自省、自责。', 'Pua无处不在，确定是不是其实不重要，只要你拥有稳定的内心，谁也pua不了你。']	['一定要内心强大', '一定要内心强大']
真的很难过	https://www.douban.com/group/topic/189178554/	['我遇到职场PUA，态度和言语上的，感觉很压抑']	['说说具体情况。']
生活中的pua	https://www.douban.com/group/topic/186334783/	['“非常丑啊！超级丑啊！很丑！”', '“我不认为她是时尚，我认为她是装时尚。”', '“唱歌不好。不爱听。”', 'Yamy的老板理所当然地在公司大会上侃侃而谈，散发着他认为的成功中年男人的魅力。徐·职场PUA·明朝对Yamy的评论之所以会引起公愤，一方面是自以为是和扭曲价值观的强迫认同，另一方面他唤起了大众的同理心，每个人多多少少都在职场经历坎坷，感同身受。', 'VIVA也有采访到几位生活中PUA的故事', '1.“字节和心脏只能跳动一个”', '2.“22年，我挣的都是青春损失费和挨骂羞辱费”', '更多关于PUA的故事：Yamy被PUA，这到底正常吗？ qq.com', '或扫码：']	[]
Pua➕金钱诈骗	https://www.douban.com/group/topic/177879251/	['网络交友要慎重，都不如单纯约炮简单！', '是的，那个女孩遇到的时候都容易以为是真爱，但是起码的理智和判断力还是要保持的。', '5月22日晚8点左右，我通过积木添加一名网友，以我善良，恋爱经验很少为搭讪台词展开示爱。因他称手机丢失，暂时无法补回几年前大学使用的手机卡，也无法找回微信密码，所以先使用qq添加并聊天，注意 不管哪种方式聊天都要谨慎。', '后来我要了对方电话号码，有一次吵架拨打了，但是他生气不想吵架为借口，未接，注意qq语音后来接了！qq或者任何网络软件，甚至是电话都可以模拟声音！', '期间未见面，原因是对方称外婆住院，回云南丽江看望老人。等回来后我们就可以见面了，让我等待几天，他也特别想我，很期待之类的话！其实是为了后面诈骗的时间做铺垫！', '期间6天，以网络情侣关系保持联系，甜甜的恋爱哦！单纯点的女孩都很喜欢！', '于5月25日，开始第一次和我提及他自己通过亲人的关系拿到行情数据，进行投入资金到银行购买短期基金，并且收益，现在涉及到给提供数据的人分成纠纷问题，有点影响心情，让我安慰他。注意说一次就淡淡的过去了！是为后面做铺垫。', '因为中间我因工作繁忙三日，所以协商联系减少，但是还是偶尔腻一下，表示很关心我。', '于5月28日晚10:36分说这几天陪伴我太少，又不在身边，想补偿我。我不想打扰他忙挣钱的正事，会说让他去忙，对方以心思都在你那边，无法工作为理由，要带着你一起玩，并且是诱导你自己主动向参与其中。', '注意开始了诱引我参与基金短投，称项目为华润基金旗下外汇短期高收益产品，让我扫码下载软件，最少可以几百元！！起，多投多收益。', '几百元，其实就是个诱饵，让你第一次看到糖，然后才会引导你去其他平台借贷。', '因为看到类似的新闻，所以我比较谨慎，进行周旋，以他不关心我为理由开始闹，他采取的方式就是先道歉，承认自己的问题。然后开始对我进行车轮战，强词夺理，强盗逻辑，类似情感道德绑架。以爱之名，批评我不接受他的好意，他多么难受，生气之类的话。稳赚不赔，不懂我为什么不接受好意。', '重点来了！', '开始释放他会离开的信号，让你害怕，让你紧张哦，有的妹子就容易妥协了。', '千万不要怕，表现出走就走，他是不会真放你走的，因为他们擅长用冷落的方法等你上钩。 这个时候有立场的女孩或者玩儿的女孩比较占优势。', '故意轮番语音联系，他开始用一种碾压你的态度来说你，各种问题都是因为你不接受这件事才导致的。这就是pua最大的一个手段，打压你！', '不过我当天就是故意扯我的点在于他不爱我之类的。', '这时他的电话已经停机，我怀疑是故意设置。', '但是qq语音通过沟通还是会接的，我故意假装很难过不说话，听那边的声音，我感觉是有团伙儿的一个窝点吧，每次很晚的凌晨一点多，都还有几个人说话的声音，虽然听不清，感觉是室外传来吧。', '我开始上华润金融官网进行查询产品，发现官网有公告，今年2月末就已经有诈骗放贷的案件。', '因为需要扫码注册，通过后台登录中心进入页面，所以我先银行卡里余额全部转移到我母亲那里，然后故意通过非微信形式进行扫码，主要目的就是为了截图页面。', '同时我给华润企业邮箱发送页面截图和二维码，请求确认！', '同时我给金融行业的朋友们发送请求确认！', '因为时间很晚了，所以以大家先休息为理由，给自己争取了空档时间。', '怀疑其骗子行为后，与其进行周旋，同时我请其他朋友帮忙确认此产品真实性，与次日早晨确认对方发来的产品为骗局，非华润金融旗下产品。', '其实还有一些过程，我今天先不整理说明了。有空配着聊天记录发。希望陌生的好女孩也都不要被pua和诈骗。 精神和经济都顶不住的。', '我倒现在还在和他联系，我想把这个水试的深一点，再多分享。']	[]
PUA无处不在，案例‘宁波银行员工近日被逼跳楼’	https://www.douban.com/group/topic/174841679/	['宁波一银行员工，名校本硕，结果因为领导PUA，工作压力特别大，结果竟然无法反抗，否定自身最终无法辞职脱身，选择了不归路。PUA无处不在，我们要想方设法学会保护自己，避免进入感情旋涡。', '相关内容可以看看知乎链接。', '希望大家引以为戒，珍惜生命。', '反PUA刻不容缓，我们一起同行。']	[]
集美们，你们所在的公司内会盛传向上管理吗？	https://www.douban.com/group/topic/166424062/	['RT，我司都要讲究向上管理的，完全不会啊，怎么办，要被社会淘汰了吗']	['这是什么。']
这个图很好	https://www.douban.com/group/topic/164354081/	[]	[]
自由发言吧	https://www.douban.com/group/topic/164050755/	['第一条消息，似乎应该说些什么。', '很简单，控制无处不在。']	[]
